x	VE	analog 5.24
x	HN	tinctoriacottage.com
x	PS	2025	11	17	01	09
x	FR	2024	04	08	11	04
x	LR	2025	11	16	04	46
x	E7	2025	11	17	01	09
x	SR	249741
x	S7	2677
x	NC	285339
x	C7	0
x	FL	921351
x	F7	2338
x	RR	3532
x	R7	2
x	NH	7207
x	H7	283
1	Rr	155096	62.103	2025
1	Rr	94645	37.897	2024
1	*BT	R	155096	2025
Q	Rr	30127	12.063	2025	4
Q	Rr	40807	16.340	2025	3
Q	Rr	48072	19.249	2025	2
Q	Rr	36090	14.451	2025	1
Q	Rr	29534	11.826	2024	4
Q	Rr	44616	17.865	2024	3
Q	Rr	20495	8.207	2024	2
Q	*BT	R	48072	2025	2
m	Rr	9463	3.789	2025	11
m	Rr	20664	8.274	2025	10
m	Rr	13680	5.478	2025	09
m	Rr	14004	5.607	2025	08
m	Rr	13123	5.255	2025	07
m	Rr	15990	6.403	2025	06
m	Rr	17388	6.962	2025	05
m	Rr	14694	5.884	2025	04
m	Rr	13704	5.487	2025	03
m	Rr	9480	3.796	2025	02
m	Rr	12906	5.168	2025	01
m	Rr	9037	3.619	2024	12
m	Rr	8328	3.335	2024	11
m	Rr	12169	4.873	2024	10
m	Rr	15284	6.120	2024	09
m	Rr	17040	6.823	2024	08
m	Rr	12292	4.922	2024	07
m	Rr	8277	3.314	2024	06
m	Rr	6815	2.729	2024	05
m	Rr	5403	2.163	2024	04
m	*BT	R	20664	2025	10
W	Rr	8	0.003	2025	11	16
W	Rr	3305	1.323	2025	11	09
W	Rr	5412	2.167	2025	11	02
W	Rr	5346	2.141	2025	10	26
W	Rr	5316	2.129	2025	10	19
W	Rr	5112	2.047	2025	10	12
W	Rr	3942	1.578	2025	10	05
W	Rr	2622	1.050	2025	09	28
W	Rr	3432	1.374	2025	09	21
W	Rr	3864	1.547	2025	09	14
W	Rr	2730	1.093	2025	09	07
W	Rr	3186	1.276	2025	08	31
W	Rr	3156	1.264	2025	08	24
W	Rr	3342	1.338	2025	08	17
W	Rr	3114	1.247	2025	08	10
W	Rr	3258	1.305	2025	08	03
W	Rr	2995	1.199	2025	07	27
W	Rr	2148	0.860	2025	07	20
W	Rr	3204	1.283	2025	07	13
W	Rr	2892	1.158	2025	07	06
W	Rr	3660	1.466	2025	06	29
W	Rr	3108	1.244	2025	06	22
W	Rr	3432	1.374	2025	06	15
W	Rr	4422	1.771	2025	06	08
W	Rr	3918	1.569	2025	06	01
W	Rr	3906	1.564	2025	05	25
W	Rr	3834	1.535	2025	05	18
W	Rr	3906	1.564	2025	05	11
W	Rr	3948	1.581	2025	05	04
W	Rr	3948	1.581	2025	04	27
W	Rr	4404	1.763	2025	04	20
W	Rr	2628	1.052	2025	04	13
W	Rr	3972	1.590	2025	04	06
W	Rr	2418	0.968	2025	03	30
W	Rr	3510	1.405	2025	03	23
